_id,actual,estimate,period,quarter,surprise,surprisePercent,symbol,year
643fa7295629963619e54f0c,1.88,1.9744,2023-03-31,1,-0.0944,-4.7812,AAPL,2023
643fa7295629963619e54f0d,1.29,1.2957,2022-12-31,4,-0.0057,-0.4399,AAPL,2022
643fa7295629963619e54f0e,1.2,1.1855,2022-09-30,3,0.0145,1.2231,AAPL,2022
643fa7295629963619e54f0f,1.52,1.4566,2022-06-30,2,0.0634,4.3526,AAPL,2022
643fa7295629963619e54f10,1.05,1.2115,2022-12-31,4,-0.1615,-13.3306,GOOGL,2022
643fa7295629963619e54f11,1.06,1.2866,2022-09-30,3,-0.2266,-17.6123,GOOGL,2022
643fa7295629963619e54f12,1.21,1.3175,2022-06-30,2,-0.1075,-8.1594,GOOGL,2022
643fa7295629963619e54f13,1.231,1.325,2022-03-31,1,-0.094,-7.0943,GOOGL,2022
643fa72a5629963619e54f14,1.19,1.15,2022-12-31,4,0.04,3.4783,TSLA,2022
643fa72a5629963619e54f15,1.05,1.0132,2022-09-30,3,0.0368,3.6321,TSLA,2022
643fa72a5629963619e54f16,0.75667,0.6169,2022-06-30,2,0.13977,22.6568,TSLA,2022
643fa72a5629963619e54f17,1.07333,0.7679,2022-03-31,1,0.30543,39.7747,TSLA,2022
643fa72a5629963619e54f18,2.32,2.3408,2023-06-30,2,-0.0208,-0.8886,MSFT,2023
643fa72a5629963619e54f19,2.35,2.3488,2023-03-31,1,0.0012,0.0511,MSFT,2023
643fa72a5629963619e54f1a,2.23,2.3386,2022-12-31,4,-0.1086,-4.6438,MSFT,2022
643fa72a5629963619e54f1b,2.22,2.2288,2022-09-30,3,-0.0088,-0.3948,MSFT,2022
